Issue Type,Summary,Epic Link,Parent,Priority,Description,Labels
Task,"[ASH][E-02][S02] 实现高风险步骤审批接口",ASH-E02-Assistant-Orchestration,"[ASH][E-02] Agent 运行编排",P1,"对主干写入/发布触发等动作加入审批机制。","ash,mvp,e02,approval"
Task,"[ASH][E-02][S03] 实现 SSE 运行日志接口",ASH-E02-Assistant-Orchestration,"[ASH][E-02] 执行流实时展示",P0,"实现 GET /v1/runs/{id}/stream 并支持持续推送。","ash,mvp,e02,sse"
Task,"[ASH][E-02][S03] 前端接入 SSE 与断线重连",ASH-E02-Assistant-Orchestration,"[ASH][E-02] 执行流实时展示",P0,"任务详情页展示实时日志并支持重连策略。","ash,mvp,e02,frontend,sse"
Task,"[ASH][E-03][S01] 实现 POST /v1/memories",ASH-E03-Memory-Knowledge,"[ASH][E-03] 记忆 CRUD 与检索",P0,"支持记忆写入及 scope 分类。","ash,mvp,e03,memory-api"
Task,"[ASH][E-03][S01] 实现 POST /v1/memories/search",ASH-E03-Memory-Knowledge,"[ASH][E-03] 记忆 CRUD 与检索",P0,"支持按 query/scope/topK 检索记忆。","ash,mvp,e03,memory-api"
Task,"[ASH][E-03][S01] 实现 PATCH/DELETE /v1/memories/{id}",ASH-E03-Memory-Knowledge,"[ASH][E-03] 记忆 CRUD 与检索",P1,"支持记忆更新、删除、置顶等管理动作。","ash,mvp,e03,memory-api"
Task,"[ASH][E-03][S02] 实现 memory_events 事件记录",ASH-E03-Memory-Knowledge,"[ASH][E-03] 记忆治理机制",P1,"记录 CREATED/HIT/UPDATED/EXPIRED 等事件。","ash,mvp,e03,memory-governance"
Task,"[ASH][E-03][S02] 实现 TTL 清理与置信度调整任务",ASH-E03-Memory-Knowledge,"[ASH][E-03] 记忆治理机制",P1,"定时处理过期记忆并生成调整候选。","ash,mvp,e03,memory-governance"
Task,"[ASH][E-03][S02] 前端记忆管理页面",ASH-E03-Memory-Knowledge,"[ASH][E-03] 记忆治理机制",P1,"支持筛选、查看、删除、置顶与来源展示。","ash,mvp,e03,frontend"
Task,"[ASH][E-04][S01] 实现 Repo/CI 连接配置接口",ASH-E04-Engineering-Automation,"[ASH][E-04] Repo/CI 连接能力",P0,"实现接入配置存储与基本可用性校验。","ash,mvp,e04,integration"
Task,"[ASH][E-04][S01] 实现流水线状态查询与日志拉取",ASH-E04-Engineering-Automation,"[ASH][E-04] Repo/CI 连接能力",P0,"支持 pipeline 状态与日志内容查询。","ash,mvp,e04,ci"
Task,"[ASH][E-04][S01] 增加失败重试与超时控制",ASH-E04-Engineering-Automation,"[ASH][E-04] Repo/CI 连接能力",P1,"提升外部依赖调用稳定性。","ash,mvp,e04,resilience"
Task,"[ASH][E-04][S02] 实现 POST /v1/ci/failures/diagnose",ASH-E04-Engineering-Automation,"[ASH][E-04] CI 失败诊断",P0,"输出 rootCause 与 fixSuggestions。","ash,mvp,e04,diagnosis"
Task,"[ASH][E-04][S02] 构建高频失败模板规则",ASH-E04-Engineering-Automation,"[ASH][E-04] CI 失败诊断",P1,"覆盖常见失败模式并可迭代扩展。","ash,mvp,e04,diagnosis"
Task,"[ASH][E-04][S02] 前端诊断结果展示与采纳",ASH-E04-Engineering-Automation,"[ASH][E-04] CI 失败诊断",P1,"展示诊断结论并记录采纳行为。","ash,mvp,e04,frontend"
Task,"[ASH][E-05][S01] 实现 POST /v1/spaces",ASH-E05-Space-Collaboration,"[ASH][E-05] 空间与成员管理",P1,"支持空间创建、描述、拥有者绑定。","ash,mvp,e05,space-api"
Task,"[ASH][E-05][S01] 实现 POST /v1/spaces/{id}/members",ASH-E05-Space-Collaboration,"[ASH][E-05] 空间与成员管理",P1,"支持成员添加与角色分配。","ash,mvp,e05,space-api"
Task,"[ASH][E-05][S01] 前端空间管理页",ASH-E05-Space-Collaboration,"[ASH][E-05] 空间与成员管理",P1,"支持空间列表、成员列表与角色管理。","ash,mvp,e05,frontend"
Task,"[ASH][E-05][S02] 实现 GET /v1/spaces/{id}/tasks",ASH-E05-Space-Collaboration,"[ASH][E-05] 空间任务协作",P1,"返回空间维度任务列表与状态。","ash,mvp,e05,space-api"
Task,"[ASH][E-05][S02] 前端空间任务视图",ASH-E05-Space-Collaboration,"[ASH][E-05] 空间任务协作",P1,"支持按状态筛选与任务跳转。","ash,mvp,e05,frontend"
Task,"[ASH][E-06][S01] 实现 POST /v1/feedback",ASH-E06-Feedback-Metrics,"[ASH][E-06] 反馈闭环",P1,"支持评分、分类、评论入库。","ash,mvp,e06,feedback-api"
Task,"[ASH][E-06][S01] 前端统一反馈组件接入",ASH-E06-Feedback-Metrics,"[ASH][E-06] 反馈闭环",P1,"在 Copilot/Agent 输出区域提供反馈入口。","ash,mvp,e06,frontend"
Task,"[ASH][E-06][S01] 低分反馈告警规则",ASH-E06-Feedback-Metrics,"[ASH][E-06] 反馈闭环",P1,"低评分超阈值触发告警。","ash,mvp,e06,alert"
Task,"[ASH][E-06][S02] 实现 GET /v1/metrics/overview",ASH-E06-Feedback-Metrics,"[ASH][E-06] KPI 看板",P1,"提供核心 KPI 聚合结果。","ash,mvp,e06,metrics-api"
Task,"[ASH][E-06][S02] 指标口径 SQL 与数据建模",ASH-E06-Feedback-Metrics,"[ASH][E-06] KPI 看板",P1,"按 doc/14 指标口径定义实现聚合逻辑。","ash,mvp,e06,metrics"
Task,"[ASH][E-06][S02] 前端指标看板页",ASH-E06-Feedback-Metrics,"[ASH][E-06] KPI 看板",P1,"支持趋势图与项目/空间过滤。","ash,mvp,e06,frontend"
Task,"[ASH][E-07][S01] 接入 OTel 与 traceId 透传",ASH-E07-Reliability-Release,"[ASH][E-07] 可观测与告警",P0,"实现接口到队列到 worker 全链路追踪。","ash,mvp,e07,observability"
Task,"[ASH][E-07][S01] 接入 Prometheus 指标",ASH-E07-Reliability-Release,"[ASH][E-07] 可观测与告警",P1,"上报任务成功率、时延、失败率等核心指标。","ash,mvp,e07,metrics"
Task,"[ASH][E-07][S01] 配置核心告警规则",ASH-E07-Reliability-Release,"[ASH][E-07] 可观测与告警",P1,"配置 API 错误率、队列积压、任务失败告警。","ash,mvp,e07,alert"
Task,"[ASH][E-07][S02] 发布脚本与变更说明模板",ASH-E07-Reliability-Release,"[ASH][E-07] 发布与灰度",P0,"规范发布流程与版本变更说明。","ash,mvp,e07,release"
Task,"[ASH][E-07][S02] 执行 MVP 发布检查清单",ASH-E07-Reliability-Release,"[ASH][E-07] 发布与灰度",P0,"按 doc/11 全量核对上线前门禁。","ash,mvp,e07,release"
Task,"[ASH][E-07][S02] 完成灰度与回滚演练记录",ASH-E07-Reliability-Release,"[ASH][E-07] 发布与灰度",P0,"验证灰度阈值、回滚流程、耗时与责任人。","ash,mvp,e07,release,rollback"
